x,y,major,minor,pressure,orientation,instance,instance, user
176.0,1647.0,6.0,6.0,0.0,-1.0,20140213_194036984-pad,hand-20140213_200653
152.0,1666.0,5.0,5.0,0.0,-1.0,20140213_194040212-pad,hand-20140213_200653
410.0,1703.0,5.0,5.0,0.0,-1.0,20140213_194041172-pad,hand-20140213_200653
439.0,1714.0,5.0,5.0,0.0,-1.0,20140213_194041852-pad,hand-20140213_200653
651.0,1692.0,6.0,6.0,0.0,-1.0,20140213_194042871-pad,hand-20140213_200653
651.0,1683.0,5.0,5.0,0.0,-1.0,20140213_194043473-pad,hand-20140213_200653
161.0,1430.0,6.0,5.0,0.0,-1.0,20140213_194049448-pad,hand-20140213_200653
56.0,1427.0,6.0,5.0,0.0,-1.0,20140213_194050211-pad,hand-20140213_200653
457.0,1416.0,6.0,6.0,0.0,-1.0,20140213_194051392-pad,hand-20140213_200653
421.0,1415.0,6.0,6.0,0.0,-1.0,20140213_194052633-pad,hand-20140213_200653
905.0,1693.0,5.0,5.0,0.0,-1.0,20140213_194053772-pad,hand-20140213_200653
953.0,1633.0,5.0,5.0,0.0,-1.0,20140213_194054302-pad,hand-20140213_200653
941.0,1386.0,5.0,4.0,0.0,-1.0,20140213_194055492-pad,hand-20140213_200653
903.0,1379.0,5.0,5.0,0.0,-1.0,20140213_194056162-pad,hand-20140213_200653
710.0,1435.0,5.0,5.0,0.0,-1.0,20140213_194056802-pad,hand-20140213_200653
659.0,1431.0,5.0,5.0,0.0,-1.0,20140213_194057273-pad,hand-20140213_200653
706.0,1147.0,5.0,5.0,0.0,-1.0,20140213_194058513-pad,hand-20140213_200653
669.0,1166.0,5.0,5.0,0.0,-1.0,20140213_194059122-pad,hand-20140213_200653
920.0,1203.0,5.0,5.0,0.0,-1.0,20140213_194059842-pad,hand-20140213_200653
992.0,1151.0,5.0,4.0,0.0,-1.0,20140213_194100582-pad,hand-20140213_200653
419.0,1171.0,5.0,5.0,0.0,-1.0,20140213_194101412-pad,hand-20140213_200653
412.0,1150.0,5.0,5.0,0.0,-1.0,20140213_194102072-pad,hand-20140213_200653
180.0,1137.0,5.0,5.0,0.0,-1.0,20140213_194102692-pad,hand-20140213_200653
165.0,1238.0,5.0,5.0,0.0,-1.0,20140213_194103312-pad,hand-20140213_200653
890.0,897.0,6.0,6.0,0.0,-1.0,20140213_194104162-pad,hand-20140213_200653
940.0,880.0,6.0,5.0,0.0,-1.0,20140213_194106522-pad,hand-20140213_200653
704.0,921.0,5.0,5.0,0.0,-1.0,20140213_194107292-pad,hand-20140213_200653
666.0,926.0,5.0,5.0,0.0,-1.0,20140213_194107792-pad,hand-20140213_200653
440.0,903.0,5.0,5.0,0.0,-1.0,20140213_194109672-pad,hand-20140213_200653
480.0,492.0,6.0,5.0,0.0,-1.0,20140213_194110303-pad,hand-20140213_200653
